epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.2004,0.4640,0.8221,0.5909,0.000100
2,0.9324,0.6117,0.6943,0.7121,0.000100
3,0.8304,0.6477,0.7220,0.7197,0.000100
4,0.7758,0.6648,0.6728,0.7045,0.000100
5,0.6772,0.6913,0.8371,0.6212,0.000100
6,0.5994,0.7689,0.7946,0.6818,0.000100
7,0.5980,0.7670,0.6861,0.7348,0.000100
8,0.5314,0.7803,0.9047,0.6591,0.000050
9,0.4124,0.8390,0.7790,0.7121,0.000050
10,0.3962,0.8390,0.8248,0.7727,0.000050
11,0.3643,0.8580,0.8832,0.6439,0.000050
