epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1538,0.4604,0.9533,0.5692,0.000100
2,0.9629,0.5528,0.8259,0.6462,0.000100
3,0.7941,0.6604,0.9658,0.6154,0.000100
4,0.7614,0.6698,0.9515,0.6462,0.000100
5,0.6685,0.7340,0.7949,0.6308,0.000100
6,0.6432,0.7358,1.1129,0.5846,0.000100
7,0.5600,0.7792,0.7930,0.6923,0.000100
8,0.4668,0.8189,0.9293,0.6308,0.000100
9,0.5740,0.7792,0.9047,0.6692,0.000100
10,0.4797,0.8132,1.1229,0.6615,0.000100
11,0.3755,0.8509,1.0112,0.6154,0.000050
12,0.3370,0.8792,0.9289,0.7231,0.000050
13,0.2839,0.9038,0.8767,0.7077,0.000050
14,0.2347,0.9264,1.0413,0.6538,0.000050
