epoch,train_loss,train_acc,val_loss,val_acc,lr
1,1.1615,0.4716,0.9940,0.5758,0.000100
2,0.9503,0.5947,0.9732,0.6288,0.000100
3,0.7842,0.6648,0.8445,0.7045,0.000100
4,0.7640,0.6932,0.9422,0.6515,0.000100
5,0.7093,0.7121,1.0901,0.6212,0.000100
6,0.6631,0.7254,0.9715,0.6439,0.000100
7,0.5729,0.7860,0.9683,0.7197,0.000050
8,0.4513,0.8352,1.0190,0.6894,0.000050
9,0.4145,0.8333,1.0133,0.6894,0.000050
10,0.3950,0.8674,0.8960,0.6970,0.000050
