epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.5916,0.6906,0.3897,0.8803,0.000100
2,0.4105,0.8147,0.3850,0.8099,0.000100
3,0.3067,0.8619,0.3512,0.8380,0.000100
4,0.2806,0.8794,0.6067,0.6479,0.000100
5,0.2569,0.8829,0.2066,0.9085,0.000100
6,0.2571,0.9143,0.2235,0.9155,0.000100
7,0.1979,0.9231,0.2287,0.9085,0.000100
8,0.2089,0.9213,0.2246,0.9366,0.000100
9,0.1686,0.9406,0.2141,0.9155,0.000050
10,0.1386,0.9493,0.2572,0.9014,0.000050
11,0.1304,0.9563,0.1864,0.9366,0.000050
12,0.1023,0.9615,0.2102,0.9225,0.000050
13,0.1415,0.9441,0.1927,0.9437,0.000050
14,0.0865,0.9755,0.2149,0.9437,0.000050
15,0.0788,0.9668,0.1870,0.9507,0.000025
16,0.0899,0.9650,0.2424,0.9577,0.000025
17,0.0812,0.9685,0.1882,0.9437,0.000025
18,0.0496,0.9808,0.2300,0.9366,0.000025
