epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.5597,0.7338,0.3222,0.8322,0.000100
2,0.3675,0.8546,0.3605,0.8252,0.000100
3,0.3119,0.8634,0.3314,0.8671,0.000100
4,0.2585,0.9072,0.3034,0.8322,0.000100
5,0.2655,0.8984,0.3801,0.8671,0.000100
6,0.2408,0.9037,0.3471,0.7972,0.000100
7,0.1989,0.9264,0.2230,0.8951,0.000100
8,0.1871,0.9177,0.3083,0.8811,0.000100
9,0.1949,0.9264,0.4464,0.8601,0.000100
10,0.1621,0.9370,0.2923,0.8951,0.000100
11,0.1577,0.9492,0.3393,0.8881,0.000050
12,0.1115,0.9597,0.3495,0.9021,0.000050
13,0.1349,0.9632,0.2736,0.9091,0.000050
14,0.1210,0.9597,0.3625,0.9091,0.000050
