epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.5357,0.7548,0.3333,0.8252,0.000100
2,0.4324,0.8179,0.2742,0.8811,0.000100
3,0.3297,0.8494,0.2714,0.8881,0.000100
4,0.2885,0.8757,0.2955,0.8462,0.000100
5,0.2390,0.8967,0.3057,0.8531,0.000100
6,0.2382,0.9107,0.2513,0.8951,0.000100
7,0.1934,0.9229,0.2901,0.8671,0.000100
8,0.1730,0.9387,0.2352,0.9091,0.000100
9,0.1456,0.9510,0.2255,0.8811,0.000100
10,0.1663,0.9264,0.2076,0.8951,0.000100
11,0.1356,0.9527,0.1770,0.9371,0.000100
12,0.1391,0.9475,0.1816,0.9231,0.000100
13,0.1712,0.9282,0.1869,0.9161,0.000100
14,0.1252,0.9492,0.2657,0.8811,0.000100
15,0.1404,0.9422,0.2394,0.8881,0.000050
16,0.0842,0.9650,0.1658,0.9301,0.000050
17,0.0508,0.9860,0.1699,0.9301,0.000050
18,0.0754,0.9755,0.1587,0.9371,0.000050
19,0.0506,0.9807,0.1612,0.9371,0.000050
20,0.0420,0.9860,0.1476,0.9441,0.000050
21,0.0557,0.9877,0.1829,0.9301,0.000050
22,0.0589,0.9825,0.1663,0.9371,0.000050
23,0.0561,0.9790,0.1655,0.9510,0.000050
24,0.0762,0.9790,0.1736,0.9371,0.000025
25,0.0522,0.9807,0.1993,0.9301,0.000025
26,0.0534,0.9807,0.2007,0.9301,0.000025
27,0.0449,0.9825,0.1879,0.9091,0.000025
