epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.5107,0.7723,0.3803,0.8252,0.000100
2,0.3646,0.8494,0.2894,0.8462,0.000100
3,0.2713,0.8949,0.3613,0.8671,0.000100
4,0.2604,0.8932,0.3389,0.8042,0.000100
5,0.1999,0.9352,0.2767,0.8881,0.000100
6,0.2244,0.9019,0.2809,0.8951,0.000100
7,0.1860,0.9194,0.4054,0.9091,0.000100
8,0.1827,0.9264,0.2918,0.9021,0.000100
9,0.1393,0.9545,0.5317,0.8881,0.000050
10,0.1410,0.9492,0.3962,0.9091,0.000050
11,0.1304,0.9457,0.4278,0.8811,0.000050
12,0.0960,0.9650,0.3374,0.8531,0.000050
